code,preshead,theta
1165,350.0,0.2934
1165,300.0,0.3078
1165,500.0,0.2982
1165,1000.0,0.3307
1165,2000.0,0.3237
1165,4000.0,0.2621
1165,15000.0,0.2494
1166,5.0,0.3552
1166,10.0,0.3543
1166,20.0,0.3526
1166,30.0,0.3495
1166,40.0,0.3439
1166,50.0,0.3436
1166,100.0,0.3206
1166,200.0,0.3011
1166,350.0,0.2864
1166,300.0,0.2619
1166,500.0,0.2508
1166,1000.0,0.3084
1166,2000.0,0.2814
1166,4000.0,0.2808
1166,15000.0,0.2177
1170,0.0,0.321
1170,20.0,0.321
1170,40.0,0.2822
1170,60.0,0.2541
1170,80.0,0.2429
1170,100.0,0.2269
1170,150.0,0.2131
1170,200.0,0.1979
1170,300.0,0.1796
1170,500.0,0.1762
1170,750.0,0.1721
1171,0.0,0.3903
1171,20.0,0.3166
1171,40.0,0.2996
1171,60.0,0.2958
1171,80.0,0.2893
1171,100.0,0.2832
1171,150.0,0.2747
1171,200.0,0.2676
1171,300.0,0.2564
1171,500.0,0.2508
1171,750.0,0.2509
1172,0.0,0.5187
1172,20.0,0.4467
1172,40.0,0.4367
1172,60.0,0.4337
1172,80.0,0.4291
1172,100.0,0.4229
1172,150.0,0.4164
1172,200.0,0.4086
1172,300.0,0.4011
1172,500.0,0.3968
1172,750.0,0.3953
1173,0.0,0.479
1173,20.0,0.4615
1173,40.0,0.4511
1173,60.0,0.4471
1173,80.0,0.4431
1173,100.0,0.4381
1173,150.0,0.4311
1173,200.0,0.4224
1173,300.0,0.4134
1173,500.0,0.4084
1173,750.0,0.4041
1174,0.0,0.4736
1174,20.0,0.4597
1174,40.0,0.4503
1174,60.0,0.4437
1174,80.0,0.4383
1174,100.0,0.4317
1174,150.0,0.4213
1174,200.0,0.4116
1174,300.0,0.3986
1174,500.0,0.3913
1174,750.0,0.3876
1180,0.0,0.4913
1180,10.0,0.3858
1180,20.0,0.3694
1180,30.0,0.3598
1180,40.0,0.3531
1180,50.0,0.348
1180,100.0,0.3393
1180,200.0,0.3289
1180,350.0,0.3214
1180,500.0,0.3146
1180,1000.0,0.2969
1180,5000.0,0.273
1180,10000.0,0.2552
1181,0.0,0.5444
1181,10.0,0.4477
1181,20.0,0.4166
1181,30.0,0.4088
1181,40.0,0.403
1181,50.0,0.3971
1181,100.0,0.3871
1181,350.0,0.3773
1181,500.0,0.37
1181,1000.0,0.3551
1181,5000.0,0.3076
1181,10000.0,0.2892
1182,0.0,0.5773
1182,10.0,0.5028
1182,20.0,0.4781
1182,30.0,0.4699
1182,40.0,0.4644
1182,50.0,0.4568
1182,100.0,0.4469
1182,200.0,0.4392
1182,350.0,0.4334
1182,500.0,0.4289
1182,1000.0,0.4133
1182,5000.0,0.3673
1182,10000.0,0.3532
1183,0.0,0.5213
1183,10.0,0.4733
1183,20.0,0.4514
1183,30.0,0.4448
1183,40.0,0.4391
1183,50.0,0.4337
1183,100.0,0.4234
1183,200.0,0.4135
1183,350.0,0.4058
1183,500.0,0.3977
1183,1000.0,0.376
1183,5000.0,0.3653
1183,10000.0,0.3476
1184,0.0,0.5337
1184,10.0,0.4588
1184,20.0,0.4394
1184,30.0,0.4285
1184,40.0,0.4196
1184,50.0,0.4107
1184,100.0,0.3963
1184,200.0,0.3833
1184,350.0,0.3761
1184,500.0,0.3633
1184,1000.0,0.3399
1184,5000.0,0.283
1184,10000.0,0.2597
1190,8.0,0.3561
1190,16.0,0.3547
1190,36.0,0.3536
1190,56.0,0.3461
1190,76.0,0.3298
1190,96.0,0.3162
1190,126.0,0.3037
1190,156.0,0.2914
1191,8.0,0.3757
1191,16.0,0.3637
1191,55.0,0.3318
1191,96.0,0.3186
1191,156.0,0.3079
1191,510.0,0.3186
1192,8.0,0.3908
1192,16.0,0.3857
1192,56.0,0.377
1192,75.0,0.363
1192,96.0,0.3699
1192,156.0,0.3633
1192,510.0,0.3526
1193,8.0,0.3854
1193,16.0,0.3789
1193,56.0,0.3714
1193,76.0,0.3681
1193,96.0,0.3654
1193,163.0,0.3554
1193,510.0,0.3324
1194,8.0,0.404
1194,16.0,0.3966
1194,36.0,0.3945
1194,56.0,0.3913
1194,76.0,0.3873
1194,96.0,0.384
1194,155.0,0.3743
1194,510.0,0.3462
1200,4.0,0.3288
1200,24.0,0.3295
1200,44.0,0.3209
1200,64.0,0.3051
1200,84.0,0.2912
1200,104.0,0.2683
1200,124.0,0.2548
1200,154.0,0.2381
1200,184.0,0.2258
1200,254.0,0.2067
1200,304.0,0.1936
1201,4.0,0.3683
1201,24.0,0.3509
1201,44.0,0.335
1201,64.0,0.3275
1201,84.0,0.3211
1201,104.0,0.3167
1201,124.0,0.313
1201,154.0,0.3083
1201,184.0,0.3033
1201,254.0,0.2943
1201,304.0,0.2842
1202,4.0,0.2913
1202,24.0,0.2843
1202,44.0,0.2736
1202,64.0,0.2624
1202,84.0,0.2535
1202,104.0,0.2456
1202,124.0,0.2413
1202,154.0,0.2353
1202,184.0,0.2287
1202,254.0,0.2218
1202,304.0,0.2175
1203,4.0,0.2901
1203,24.0,0.279
1203,44.0,0.2591
1203,64.0,0.2341
1203,84.0,0.2107
1203,104.0,0.195
1203,124.0,0.1832
1203,154.0,0.1712
1203,184.0,0.162
1203,254.0,0.1482
1203,304.0,0.1417
