code,theta,conductivity
1382,0.204,0.00203
1382,0.203,0.00237
1382,0.198,0.00108
1382,0.197,0.0012
1382,0.193,0.00236
1383,0.362,6.498
1383,0.358,2.224
1383,0.356,3.531
1383,0.355,2.989
1383,0.353,1.863
1383,0.351,0.4159
1383,0.348,1.288
1383,0.347,0.3406
1383,0.346,0.3889
1383,0.342,0.1274
1383,0.341,0.1118
1383,0.337,0.1274
1383,0.336,0.03497
1383,0.335,0.1151
1383,0.331,0.02287
1383,0.33,0.0167
1383,0.329,0.0324
1383,0.327,0.1502
1383,0.324,0.016
1383,0.323,0.0124
1383,0.322,0.01415
1383,0.318,0.09109
1383,0.317,0.00988
1383,0.313,0.2176
1383,0.31,0.00412
1383,0.308,0.1386
1383,0.306,0.00268
1383,0.303,0.00245
1383,0.302,0.00141
1383,0.3,0.01197
1383,0.298,0.00102
1383,0.297,0.00398
1383,0.295,0.01045
1383,0.292,0.00257
1383,0.29,0.00235
1383,0.278,0.00679
1383,0.274,0.00356
1383,0.27,0.00256
1383,0.267,0.00161
1383,0.264,0.00139
1390,0.322,4.282
1390,0.315,5.721
1390,0.311,1.954
1390,0.31,1.111
1390,0.304,4.348
1390,0.3,0.6451
1390,0.294,4.444
1390,0.288,5.571
1390,0.283,1.606
1390,0.282,0.505
1390,0.278,1.772
1390,0.273,0.4444
1390,0.271,1.255
1390,0.268,0.4239
1390,0.262,0.4228
1390,0.261,0.6779
1390,0.26,0.7737
1390,0.251,0.3822
1390,0.245,0.0876
1390,0.242,0.09105
1390,0.236,0.103
1390,0.23,0.0638
1390,0.226,0.03594
1390,0.22,0.05477
1390,0.215,0.0307
1390,0.212,0.03564
1390,0.211,0.01711
1390,0.209,0.01704
1390,0.205,0.0163
1390,0.202,0.01682
1390,0.193,0.00855
1390,0.191,0.00691
1390,0.188,0.00855
1390,0.182,0.00683
1390,0.178,0.00846
1390,0.176,0.00391
1390,0.174,0.00479
1390,0.173,0.00402
1390,0.167,0.00209
1390,0.166,0.00325
1390,0.164,0.00128
1390,0.163,0.0033
1390,0.156,0.00211
1391,0.332,3.805
1391,0.328,4.727
1391,0.315,2.504
1391,0.307,2.786
1391,0.306,3.064
1391,0.3,2.6
1391,0.298,1.907
1391,0.294,2.119
1391,0.286,2.753
1391,0.283,1.683
1391,0.282,3.456
1391,0.278,1.103
1391,0.275,2.344
1391,0.268,0.931
1391,0.259,0.6881
1391,0.252,0.8076
1391,0.25,0.3307
1391,0.236,0.1089
1391,0.228,0.1241
1391,0.224,0.0957
1391,0.219,0.05152
1391,0.217,0.04005
1391,0.216,0.08137
1391,0.21,0.03959
1391,0.208,0.03013
1391,0.207,0.07323
1391,0.201,0.02384
1391,0.198,0.01922
1391,0.197,0.03963
1391,0.194,0.02888
1391,0.192,0.01653
1391,0.184,0.02394
1391,0.182,0.01872
1391,0.181,0.00905
1391,0.179,0.016
1391,0.175,0.00882
1391,0.167,0.00964
