code,particle_size,particle_fraction
2104,2000.0,1.0
2105,0.0,0.042
2105,2.0,0.083
2105,20.0,0.096
2105,50.0,0.128
2105,100.0,0.274
2105,250.0,0.711
2105,500.0,0.953
2105,1000.0,0.999
2105,2000.0,1.0
2110,2.0,0.04
2110,50.0,0.22
2110,125.0,0.367
2110,250.0,0.659
2110,500.0,0.901
2110,1000.0,0.981
2110,2000.0,0.994
2111,2.0,0.07
2111,50.0,0.27
2111,125.0,0.423
2111,250.0,0.663
2111,500.0,0.894
2111,1000.0,0.989
2111,2000.0,0.999
2120,2.0,0.03
2120,50.0,0.09
2120,2000.0,1.0
2121,2.0,0.03
2121,50.0,0.08
2121,2000.0,1.0
2122,2.0,0.07
2122,50.0,0.13
2122,2000.0,1.0
2123,2.0,0.07
2123,50.0,0.12
2123,2000.0,1.0
2124,2.0,0.05
2124,50.0,0.1
2124,2000.0,1.0
2125,2.0,0.05
2125,50.0,0.08
2125,2000.0,1.0
2126,2.0,0.03
2126,50.0,0.05
2126,2000.0,0.99
2130,2.0,0.08
2130,50.0,0.29
2130,2000.0,1.0
2131,2.0,0.13
2131,50.0,0.29
2131,2000.0,1.0
2132,2.0,0.14
2132,50.0,0.32
2132,2000.0,1.0
2140,,
2141,,
2150,,
2151,,
2160,2.0,0.258
2160,20.0,0.709
2160,200.0,0.973
2160,2000.0,1.0
2161,2.0,0.156
2161,20.0,0.763
2161,200.0,0.987
2161,2000.0,1.0
2170,2.0,0.22
2170,20.0,0.74
2170,2000.0,1.0
2171,2.0,0.36
2171,20.0,0.75
2171,2000.0,1.0
2180,2.0,0.41
2180,20.0,0.85
2180,2000.0,1.0
2181,2.0,0.49
2181,20.0,0.88
2181,2000.0,1.0
2190,2.0,0.03
2190,50.0,0.08
2190,2000.0,1.0
2191,2.0,0.03
2191,50.0,0.08
2191,2000.0,1.0
2192,2.0,0.03
2192,50.0,0.08
2192,2000.0,1.0
2193,2.0,0.03
2193,50.0,0.08
