particle_density,texture,porosity,series,conductivity,depth_lower,OM_content,k_sat,theta_sat,pH,location,depth_upper,code,P2,P50,P100,P250,P500,P1000,P2000,rho,suction,theta
2.65,12.0,0.44,33.0,1.656,61.0,0.75,708.0,0.418,7.3,23.0,30.0,1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,4.0,0.3235
2.65,12.0,0.44,33.0,1.656,61.0,0.75,708.0,0.418,7.3,23.0,30.0,1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,10.0,0.3
2.65,12.0,0.44,33.0,1.656,61.0,0.75,708.0,0.418,7.3,23.0,30.0,1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,20.0,0.1054
2.65,12.0,0.44,33.0,1.656,61.0,0.75,708.0,0.418,7.3,23.0,30.0,1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,30.0,0.0589
2.65,12.0,0.44,33.0,1.656,61.0,0.75,742.0,0.418,7.3,23.0,30.0,1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,40.0,0.0442
2.65,12.0,0.44,33.0,1.656,61.0,0.75,742.0,0.418,7.3,23.0,30.0,1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,50.0,0.037
2.65,12.0,0.44,33.0,1.656,61.0,0.75,742.0,0.418,7.3,23.0,30.0,1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,60.0,0.0357
2.65,12.0,0.44,33.0,1.656,61.0,0.75,742.0,0.418,7.3,23.0,30.0,1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,100.0,0.0326
2.65,12.0,0.44,33.0,1.656,61.0,0.75,742.0,0.418,7.3,23.0,30.0,1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,140.0,0.0306
2.65,12.0,0.44,33.0,1.656,61.0,0.75,742.0,0.418,7.3,23.0,30.0,1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,180.0,0.0266
2.65,12.0,0.44,33.0,1.656,61.0,0.75,742.0,0.418,7.3,23.0,30.0,1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,240.0,0.0256
2.65,12.0,0.44,33.0,1.656,61.0,0.75,742.0,0.418,7.3,23.0,30.0,1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,320.0,0.0253
2.65,12.0,0.44,33.0,1.656,61.0,0.75,742.0,0.418,7.3,23.0,30.0,1054,0.025,0.028,0.03066666666666667,0.065,0.302,0.859,1.0,1.54,400.0,0.0248
2.65,12.0,0.44,33.0,1.656,61.0,0.75,742.0,0.418,7.3,23.0,30.0,1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,0.0,0.3608
2.65,12.0,0.44,33.0,1.656,61.0,0.75,1117.0,0.418,7.3,23.0,30.0,1060,0.02,0.07,0.098,0.34,0.725,0.972,1.0,1.55,4.0,0.3482
